time_unit,real_y,synth_y,diff
25,11.663,11.138082960801713,0.5249170391982876
26,11.791,10.59308257046891,1.1979174295310901
27,11.764,10.442116898228912,1.3218831017710873
28,11.915,10.533231103884955,1.3817688961150445
29,11.852,10.414757138560452,1.4372428614395485
30,11.898,10.1397053354422,1.7582946645578001
31,11.988,10.845124568218562,1.1428754317814374
32,12.062,11.07759320472235,0.9844067952776498
33,12.342,11.265151073987049,1.0768489260129517
34,12.572,11.555941961719927,1.0160580382800717
35,12.604,11.716617310619277,0.887382689380722
36,12.93,12.07844534648103,0.8515546535189689
37,13.348,12.551533864467423,0.7964661355325777
38,13.906,13.073123819184511,0.8328761808154894
39,14.474,13.86655693885284,0.6074430611471602
40,15.131,14.761547272297651,0.36945272770234894
41,15.749,15.539780622831293,0.20921937716870787
42,16.288,16.149263010757245,0.13873698924275502
43,17.1,17.062913071791062,0.03708692820893944
44,18.236,18.48128559426113,-0.24528559426113006
45,19.565,19.752902983423247,-0.18790298342324618
46,20.876,21.199666512530765,-0.32366651253076384
47,22.494,22.65847656585784,-0.16447656585783932
48,23.708,24.09983094708743,-0.39183094708743127
49,24.641,25.33380624490435,-0.6928062449043502
50,26.199,27.109386801667195,-0.9103868016671939
51,28.19,28.40817632111375,-0.21817632111374863
52,30.436,30.31390884593495,0.12209115406504978
53,31.343,31.877818254298887,-0.5348182542988873
54,31.012,33.1980944052222,-2.1860944052221996
55,33.209,34.25716521143243,-1.0481652114324262
56,35.907,35.305784022297566,0.6012159777024308
57,40.34,36.164227529095626,4.175772470904377
58,45.643,38.20319014808468,7.439809851915321
59,51.709,39.74104335945909,11.967956640540912
60,59.186,41.22627964930659,17.95972035069341
61,69.191,42.38045287833273,26.81054712166727
62,75.094,43.1843972252925,31.909602774707494
63,79.366,43.50369199026399,35.86230800973601
64,84.388,44.47937816635351,39.90862183364649
65,89.696,45.780646045198424,43.915353954801574
66,94.87,47.15452124221149,47.71547875778852
67,100.509,48.257166595366506,52.251833404633494
68,104.362,49.61409472001982,54.74790527998017
69,109.21,50.63895366723542,58.571046332764574
70,113.403,51.90749300682787,61.495506993172135
71,111.853,53.05460292687679,58.798397073123205
72,113.798,54.956368271309294,58.84163172869071
73,118.01,57.03616691877514,60.97383308122487
74,123.324,59.54975138894906,63.774248611050936
