.id,.placebo,time_unit,real_y,synth_y,diff,type_text
Japan,0,25,11.663,11.142533343978494,0.5204666560215063,Japan
Japan,0,26,11.791,10.590051329324542,1.2009486706754586,Japan
Japan,0,27,11.764,10.434616464550627,1.329383535449372,Japan
Japan,0,28,11.915,10.528613998922403,1.3863860010775966,Japan
Japan,0,29,11.852,10.409061533369078,1.4429384666309222,Japan
Japan,0,30,11.898,10.135729998054483,1.7622700019455166,Japan
Japan,0,31,11.988,10.840618058690705,1.1473819413092947,Japan
Japan,0,32,12.062,11.080217367594333,0.9817826324056664,Japan
Japan,0,33,12.342,11.273441226255148,1.0685587737448525,Japan
Japan,0,34,12.572,11.568992656851831,1.0030073431481679,Japan
Japan,0,35,12.604,11.730120866572426,0.8738791334275735,Japan
Japan,0,36,12.93,12.084785903193133,0.8452140968068669,Japan
Japan,0,37,13.348,12.555073414893032,0.7929265851069687,Japan
Japan,0,38,13.906,13.070707354364949,0.835292645635052,Japan
Japan,0,39,14.474,13.862117293729192,0.6118827062708085,Japan
Japan,0,40,15.131,14.760234578699043,0.37076542130095724,Japan
Japan,0,41,15.749,15.543442206011472,0.20555779398852891,Japan
Japan,0,42,16.288,16.153365017632563,0.13463498236743732,Japan
Japan,0,43,17.1,17.07225407448649,0.027745925513510628,Japan
Japan,0,44,18.236,18.494451299353802,-0.2584512993538013,Japan
Japan,0,45,19.565,19.76580436545474,-0.20080436545474,Japan
Japan,0,46,20.876,21.204242494698885,-0.328242494698884,Japan
Japan,0,47,22.494,22.647456035519948,-0.15345603551994813,Japan
Japan,0,48,23.708,24.079170673664564,-0.37117067366456524,Japan
Japan,0,49,24.641,25.32064780768113,-0.6796478076811319,Japan
Japan,0,50,26.199,27.092685013549755,-0.8936850135497529,Japan
Japan,0,51,28.19,28.384027700930066,-0.19402770093006438,Japan
Japan,0,52,30.436,30.296493817574042,0.1395061824259578,Japan
Japan,0,53,31.343,31.870770295409272,-0.5277702954092724,Japan
Japan,0,54,31.012,33.20484294500434,-2.1928429450043367,Japan
