.id,.placebo,time_unit,real_y,synth_y,diff,type_text
Japan,0,25,11.663,11.138082854391412,0.5249171456085886,Japan
Japan,0,26,11.791,10.593082490349474,1.1979175096505266,Japan
Japan,0,27,11.764,10.442116832986132,1.3218831670138673,Japan
Japan,0,28,11.915,10.533231049266034,1.3817689507339654,Japan
Japan,0,29,11.852,10.414757103581753,1.4372428964182475,Japan
Japan,0,30,11.898,10.139705317923484,1.7582946820765155,Japan
Japan,0,31,11.988,10.845124549106774,1.142875450893225,Japan
Japan,0,32,12.062,11.077593188219778,0.9844068117802216,Japan
Japan,0,33,12.342,11.26515105905775,1.0768489409422504,Japan
Japan,0,34,12.572,11.555941955713074,1.0160580442869254,Japan
Japan,0,35,12.604,11.716617313127669,0.8873826868723302,Japan
Japan,0,36,12.93,12.078445372321797,0.8515546276782029,Japan
Japan,0,37,13.348,12.551533913645104,0.7964660863548971,Japan
Japan,0,38,13.906,13.073123886151828,0.8328761138481724,Japan
Japan,0,39,14.474,13.866557018607356,0.6074429813926443,Japan
Japan,0,40,15.131,14.761547365967907,0.3694526340320934,Japan
Japan,0,41,15.749,15.539780713582221,0.20921928641777932,Japan
Japan,0,42,16.288,16.149263109295074,0.13873689070492645,Japan
Japan,0,43,17.1,17.062913169001412,0.03708683099858945,Japan
Japan,0,44,18.236,18.481285675601125,-0.24528567560112435,Japan
Japan,0,45,19.565,19.752903050675815,-0.18790305067581414,Japan
Japan,0,46,20.876,21.199666555016552,-0.32366655501655117,Japan
Japan,0,47,22.494,22.65847658346903,-0.16447658346903182,Japan
Japan,0,48,23.708,24.099830933894943,-0.39183093389494417,Japan
Japan,0,49,24.641,25.333806200036367,-0.6928062000363688,Japan
Japan,0,50,26.199,27.109386713324547,-0.9103867133245451,Japan
Japan,0,51,28.19,28.408176188037334,-0.21817618803733296,Japan
Japan,0,52,30.436,30.31390863908757,0.12209136091243167,Japan
Japan,0,53,31.343,31.8778179830757,-0.5348179830757012,Japan
Japan,0,54,31.012,33.19809406627826,-2.186094066278258,Japan
Japan,0,55,33.209,34.257164817245474,-1.0481648172454712,Japan
Japan,0,56,35.907,35.30578358711101,0.6012164128889879,Japan
Japan,0,57,40.34,36.1642270591655,4.175772940834506,Japan
Japan,0,58,45.643,38.203189608707376,7.439810391292625,Japan
Japan,0,59,51.709,39.74104277491235,11.967957225087652,Japan
Japan,0,60,59.186,41.22627900999442,17.95972099000558,Japan
Japan,0,61,69.191,42.38045218193905,26.810547818060954,Japan
Japan,0,62,75.094,43.18439649370701,31.90960350629298,Japan
Japan,0,63,79.366,43.503691231573626,35.862308768426374,Japan
